"id","player_pc_id","club_pc_id","match_count","bat_average","avg_bat_position","overs_per_game","wickets_per_over"
93,94519,4525,14,23.4286,4.2857,3.3857142857142857,0.14767932489451477
94,1685335,4525,16,11.0000,6.4375,0.625,0
95,94443,4525,14,13.9286,6.6429,0.14285714285714285,0
96,94540,4525,20,12.0000,7.0000,6.25,0.12
97,172321,4525,17,7.2941,8.5294,6.811764705882353,0.2158894645941278
98,3550281,4525,18,1.5556,10.5556,8.38888888888889,0.152317880794702
99,3550305,4525,18,0.7778,10.0000,8.811111111111112,0.1954602774274905
100,739704,3808,30,16.3667,6.0000,4.449999999999999,0.2322097378277154
101,25682,7030,12,25.1667,4.6667,10,0.175
102,3577491,7030,10,26.0000,4.2000,1.53,0.13071895424836602
104,113312,7030,11,41.0000,2.0909,0.4090909090909091,0
105,67008,7030,8,42.0000,5.6250,1.875,0.2
106,568957,7030,5,10.0000,6.0000,0.1,0
107,3787212,7030,8,9.1250,6.6250,0.5,0
109,110889,7030,10,12.3000,6.6000,4.9399999999999995,0.24291497975708504
110,147496,7030,9,5.8889,7.3333,5.888888888888889,0.20754716981132076
111,25683,7030,10,13.1000,8.1000,7.5,0.21333333333333335
112,3636411,3808,17,10.1765,5.3529,1.588235294117647,0.1111111111111111
113,3599137,3808,6,10.1667,6.6667,6.333333333333333,0.23684210526315788
114,3599192,3808,25,15.2000,4.4400,0,0
115,3633185,3808,7,6.7143,7.0000,1.4285714285714286,0.2
116,116232,2043,50,30.5400,3.3400,4.58,0.1703056768558952
117,11808,2043,41,39.9024,2.2927,0.13658536585365852,0.7142857142857143
118,398679,2043,49,18.2449,3.9388,6.408163265306121,0.19108280254777074
119,50619,2043,44,28.0455,3.7273,1.3113636363636365,0.20797227036395147
120,482074,2043,21,11.9524,6.8095,5.428571428571429,0.15789473684210525
121,635423,2043,23,16.0000,4.2609,0,0
122,10601,2043,24,14.9583,6.5000,2.25,0.1111111111111111
123,795277,2043,38,19.3684,6.4474,0.02631578947368421,0
124,3546593,2043,24,4.2500,9.7500,10.137500000000001,0.17673653925195232
125,15020,2043,31,2.5806,9.7097,7.941935483870968,0.19090170593013808
126,1255815,2043,38,3.7632,10.0263,6.35,0.18234562784915045
127,16401,3808,44,20.7500,3.6364,2.4386363636363635,0.21435228331780057
128,3299543,3808,24,16.2500,6.6250,6.208333333333333,0.1476510067114094
129,117098,4791,17,33.7647,1.8235,5,0.16470588235294117
131,3702685,4791,14,19.7143,2.9286,0.14285714285714285,0
132,3805994,4791,9,16.6667,3.5556,0.4444444444444444,0.25
133,3311524,4791,8,11.2500,4.5000,0.6375,0.3921568627450981
134,2639461,4791,15,14.9333,6.4667,0.8666666666666667,0.38461538461538464
135,4080033,4791,5,17.4000,8.0000,3.6,0.2222222222222222
136,3608624,4791,6,7.8333,9.0000,8.333333333333334,0.32
137,3929064,4791,8,3.1250,9.0000,0.625,0.2
138,4084600,4791,8,7.3750,7.3750,8.2625,0.24205748865355525
139,3806000,4791,12,1.2500,10.3333,8.191666666666666,0.18311291963377416
140,58831,3808,22,10.1818,3.0000,6.613636363636363,0.2268041237113402
141,4047187,3808,12,14.7500,1.4167,0.08333333333333333,0
142,4083006,3808,8,14.0000,4.1250,0.25,0
143,2765708,3808,20,8.7000,8.9000,9.135,0.2298850574712644
144,16398,3808,18,23.6667,5.6667,0,0
145,991,1477,19,21.8947,2.1053,0.21052631578947367,0.25
146,508262,1477,15,38.2667,2.4667,6.7,0.208955223880597
147,10352,1477,17,23.0000,3.0588,4.117647058823529,0.15714285714285714
148,330263,1477,13,12.1538,5.0000,7.6923076923076925,0.21
149,10358,1477,14,23.5714,3.7857,0,0
150,1050,1477,16,13.0625,5.6875,0.58125,0.2150537634408602
151,342406,1477,18,15.7778,6.6111,10.833333333333334,0.2
152,10356,1477,17,9.7059,6.5294,0,0
