pc_id,position_name,value,club_id
3905940,All Rounder,4.5,5625
1878132,All Rounder,4.5,5625
3305025,All Rounder,4.5,5625
982255,Keeper,5.5,5625
3537048,Keeper,5.0,5625
4089314,Keeper,5.0,5625
22298,Keeper,4.5,5625
4082855,Keeper,4.5,5625
3360358,Bowler,5.5,5625
3217645,Bowler,5.5,5625
3320342,Bowler,5.5,5625
172919,Bowler,5.5,5625
2634606,Bowler,5.0,5625
1593782,Bowler,4.5,5625
3970941,Bowler,4.5,5625
3648880,Bowler,4.5,5625
3697642,Bowler,4.0,5625
130266,Bowler,4.0,5625
3560556,Bowler,4.0,5625
1368448,Bowler,4.0,5625
1664189,Bowler,4.0,5625
172933,Bowler,4.0,5625
0,Batter,10.2,4884
0,Batter,8.9,4884
0,Batter,9.0,4884
0,Batter,6.3,4884
0,Batter,5.5,4884
0,Batter,5.3,4884
637169,Batter,5.2,4884
0,Batter,4.9,4884
0,Batter,5.0,4884
0,Batter,4.1,4884
36334,Batter,3.5,4884
1910880,Batter,3.7,4884
1568274,Batter,3.0,4884
0,Batter,3.0,4884
1328834,Batter,2.9,4884
0,Batter,2.8,4884
691567,Batter,2.9,4884
36322,Batter,2.3,4884
0,Batter,2.5,4884
0,Batter,2.5,4884
20140,Batter,2.0,4884
0,Batter,1.9,4884
2337196,Batter,1.5,4884
637054,Batter,1.4,4884
3307136,Batter,1.5,4884
636864,Batter,1.5,4884
2337200,Batter,1.5,4884
0,Batter,1.5,4884
2641850,Batter,1.0,4884
1204199,Batter,1.2,4884
0,Batter,1.0,4884
0,Batter,0.5,4884
0,All Rounder,13.0,4884
1596950,All Rounder,10.8,4884
0,All Rounder,8.4,4884
3808619,All Rounder,7.4,4884
0,All Rounder,7.5,4884
1901673,All Rounder,6.2,4884
0,All Rounder,6.0,4884
1721270,All Rounder,6.7,4884
0,All Rounder,5.7,4884
1005326,All Rounder,5.0,4884
0,All Rounder,4.3,4884
1950790,All Rounder,4.4,4884
0,All Rounder,4.3,4884
0,All Rounder,3.5,4884
0,All Rounder,3.5,4884
0,All Rounder,4.0,4884
1266199,All Rounder,3.4,4884
0,All Rounder,3.0,4884
1901674,All Rounder,3.0,4884
0,All Rounder,3.0,4884
888585,All Rounder,2.0,4884
0,All Rounder,2.1,4884
2337195,All Rounder,1.5,4884
602802,All Rounder,1.4,4884
723085,Keeper,9.1,4884
0,Keeper,7.2,4884
484631,Keeper,6.0,4884
